id,league_id,country_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
1,1,1,9987,9993,1,1
2,1,1,10000,9994,0,0
3,1,1,9984,8635,0,3
4,1,1,9991,9998,5,0
5,1,1,7947,9985,1,3
6,1,1,8203,8342,1,1
7,1,1,9999,8571,2,2
8,1,1,4049,9996,1,2
9,1,1,10001,9986,1,0
10,1,1,8342,8571,4,1
11,1,1,9985,9986,1,2
12,1,1,10000,9991,0,2
13,1,1,9994,9998,0,0
14,1,1,7947,10001,2,2
15,1,1,8203,9999,1,2
16,1,1,9996,9984,0,1
17,1,1,4049,9987,1,3
18,1,1,9993,8635,1,3
19,1,1,8635,9994,2,3
20,1,1,9998,9996,0,0
21,1,1,9986,8342,2,2
22,1,1,9984,10000,2,0
23,1,1,9991,7947,1,1
24,1,1,9999,4049,1,2
25,1,1,8571,8203,0,0
26,1,1,10001,9987,1,0
27,1,1,9993,9985,1,3
28,1,1,8342,8635,1,1
29,1,1,9987,9999,1,1
30,1,1,10000,9993,2,2
31,1,1,9994,9985,1,1
32,1,1,7947,8571,1,0
33,1,1,8203,9998,0,0
34,1,1,9996,9986,2,1
35,1,1,4049,9984,3,0
36,1,1,10001,9991,3,2
37,1,1,8635,10001,2,0
38,1,1,9985,9996,3,1
39,1,1,9998,8342,1,2
40,1,1,9986,4049,3,2
41,1,1,9984,8203,2,1
42,1,1,9991,9987,2,3
43,1,1,9999,7947,2,2
44,1,1,8571,10000,1,0
45,1,1,9993,9994,0,2
46,1,1,8342,9993,3,0
47,1,1,9987,9984,3,2
48,1,1,10000,9986,4,2
49,1,1,9991,9999,4,0
50,1,1,7947,8635,0,2
51,1,1,8203,9985,0,0
52,1,1,9996,9994,2,0
53,1,1,4049,8571,3,3
54,1,1,10001,9998,2,1
55,1,1,8635,4049,5,1
56,1,1,9985,10000,1,2
57,1,1,9998,7947,5,2
58,1,1,9986,8203,1,2
59,1,1,9984,9991,3,1
60,1,1,9994,8342,2,0
61,1,1,9999,10001,1,0
62,1,1,8571,9987,3,1
63,1,1,9993,9996,3,0
64,1,1,8342,9985,1,4
65,1,1,9987,9986,1,0
66,1,1,10000,9996,2,1
67,1,1,9991,8571,1,1
68,1,1,7947,9994,1,1
69,1,1,8203,9993,2,1
70,1,1,9999,8635,0,3
71,1,1,4049,9998,2,1
72,1,1,10001,9984,1,2
73,1,1,8635,9987,2,0
74,1,1,9985,9991,2,1
75,1,1,9998,10000,2,2
76,1,1,9986,7947,2,0
77,1,1,9984,9999,4,3
78,1,1,9994,8203,2,2
79,1,1,9996,8342,5,1
80,1,1,8571,10001,0,0
81,1,1,9993,4049,2,0
82,1,1,9993,9987,4,1
83,1,1,9994,10000,2,1
84,1,1,8635,9984,1,2
85,1,1,9998,9991,1,2
86,1,1,9985,7947,3,2
87,1,1,8342,8203,3,0
88,1,1,8571,9999,2,1
89,1,1,9996,4049,1,1
90,1,1,9986,10001,1,2
91,1,1,10000,8342,3,1
92,1,1,9991,8635,1,2
93,1,1,10001,9985,0,1
94,1,1,9987,9998,2,0
95,1,1,9999,9986,3,1
96,1,1,4049,9994,2,1
97,1,1,8203,9996,2,2
98,1,1,9984,8571,0,1
99,1,1,7947,9993,0,1
100,1,1,8342,10000,2,0
101,1,1,8635,9991,2,2
102,1,1,9985,10001,3,0
103,1,1,9998,9987,3,1
104,1,1,9986,9999,1,0
105,1,1,9994,4049,4,1
106,1,1,9996,8203,3,1
107,1,1,8571,9984,2,1
108,1,1,9993,7947,1,1
109,1,1,8571,8635,1,3
110,1,1,9994,9987,1,2
111,1,1,9998,9984,1,1
112,1,1,9986,9991,2,5
113,1,1,9996,7947,0,2
114,1,1,10000,8203,1,1
115,1,1,9985,9999,3,0
116,1,1,8342,4049,3,1
117,1,1,9993,10001,2,1
118,1,1,7947,8342,0,2
119,1,1,8571,9985,0,2
120,1,1,8635,9998,3,2
121,1,1,9987,10000,1,2
122,1,1,9984,9986,2,2
123,1,1,10001,9994,1,0
124,1,1,4049,8203,1,5
125,1,1,9991,9996,2,0
126,1,1,9999,9993,2,2
127,1,1,9986,8635,0,1
128,1,1,8342,9987,0,2
129,1,1,9993,9984,1,1
130,1,1,8203,9991,3,3
131,1,1,10000,7947,1,0
132,1,1,9994,9999,2,1
133,1,1,9998,8571,1,1
134,1,1,9985,4049,4,0
135,1,1,9996,10001,0,0
136,1,1,10001,8342,1,1
137,1,1,8635,9985,4,2
138,1,1,9999,9998,3,2
139,1,1,4049,10000,0,6
140,1,1,8571,9986,1,1
141,1,1,9984,9994,0,0
142,1,1,7947,8203,1,2
143,1,1,9987,9996,1,1
144,1,1,9991,9993,1,3
145,1,1,9996,8635,1,1
146,1,1,8203,9987,2,1
147,1,1,9986,9998,3,0
148,1,1,9985,9984,4,0
149,1,1,9994,9991,0,1
150,1,1,8342,9999,2,1
151,1,1,9993,8571,3,0
152,1,1,7947,4049,4,0
153,1,1,10000,10001,1,1
154,1,1,9984,8342,1,3
155,1,1,9998,9985,0,1
156,1,1,8635,10000,2,0
157,1,1,8571,9994,2,3
158,1,1,9987,7947,4,3
159,1,1,10001,8203,0,1
160,1,1,9999,9996,2,0
161,1,1,9991,4049,2,0
162,1,1,9986,9993,0,0
163,1,1,8203,8635,2,1
164,1,1,9985,9987,2,0
165,1,1,9993,9998,2,0
166,1,1,9994,9986,0,0
167,1,1,7947,9984,1,0
168,1,1,8342,9991,1,4
169,1,1,10000,9999,0,0
170,1,1,9996,8571,1,0
